epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9929,1.57551,2.44323,1.37596,0,0,0,0,0,0,0,0.00048,0.00048,0.00048
2,36.0417,0.74209,0.80213,0.91828,0,0,0,0,0,0,0,0.000970298,0.000970298,0.000970298
3,56.6679,0.70756,0.80366,0.90293,0,0,0,0,0,0,0,0.0014507,0.0014507,0.0014507
4,75.3934,0.69755,0.82243,0.89528,0,0,0,0,0,0,0,0.00192119,0.00192119,0.00192119
5,93.8013,0.71849,0.75324,0.91369,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
6,113.666,0.80021,0.6785,0.90849,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
7,131.035,0.64403,0.53912,0.88913,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
8,149.029,0.71704,0.55952,0.89728,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
9,168.332,0.68567,0.5031,0.87827,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
10,185.966,0.60939,0.51893,0.88799,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
11,204.034,0.54956,0.46492,0.84875,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
12,225.13,0.53082,0.47213,0.84291,0,0,0,0,0,0,0,0.0017822,0.0017822,0.0017822
13,245.117,0.5292,0.46568,0.83643,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
14,266.585,0.50143,0.43895,0.84439,0,0,0,0,0,0,0,0.0017426,0.0017426,0.0017426
15,286.114,0.5297,0.42522,0.84455,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
16,307.299,0.52602,0.44896,0.85019,0,0,0,0,0,0,0,0.001703,0.001703,0.001703
17,329.9,0.55483,0.43965,0.83424,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
18,349.719,0.52964,0.4307,0.84742,0,0,0,0,0,0,0,0.0016634,0.0016634,0.0016634
19,371.565,0.47,0.39197,0.82737,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
20,390.718,0.44882,0.36961,0.8302,0,0,0,0,0,0,0,0.0016238,0.0016238,0.0016238
21,412.77,0.47646,0.38319,0.83208,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
22,435.228,0.4479,0.39701,0.8222,0,0,0,0,0,0,0,0.0015842,0.0015842,0.0015842
23,457.202,0.43821,0.37296,0.82897,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
24,475.274,0.43323,0.3545,0.81086,0,0,0,0,0,0,0,0.0015446,0.0015446,0.0015446
25,493.44,0.41552,0.35193,0.81489,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
26,510.937,0.42388,0.35574,0.81799,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
27,532.196,0.4287,0.36576,0.81697,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
28,549.33,0.41269,0.33779,0.81788,0,0,0,0,0,0,0,0.0014654,0.0014654,0.0014654
29,566.854,0.4187,0.35273,0.82846,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
30,589.4,0.45954,0.35245,0.81995,0,0,0,0,0,0,0,0.0014258,0.0014258,0.0014258
31,611.816,0.41918,0.36663,0.82366,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
32,633.694,0.40205,0.34579,0.82388,0,0,0,0,0,0,0,0.0013862,0.0013862,0.0013862
33,654.336,0.3862,0.33419,0.81583,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
34,672.566,0.4168,0.35305,0.81201,0,0,0,0,0,0,0,0.0013466,0.0013466,0.0013466
35,703.091,0.41066,0.33296,0.80645,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
36,724.874,0.39268,0.3169,0.80827,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
37,744.588,0.37805,0.31938,0.80615,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
38,764.729,0.37006,0.30833,0.805,0,0,0,0,0,0,0,0.0012674,0.0012674,0.0012674
39,786.568,0.37825,0.34147,0.80575,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
40,806.327,0.36764,0.3099,0.80266,0,0,0,0,0,0,0,0.0012278,0.0012278,0.0012278
41,836.766,0.3756,0.32004,0.81426,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
42,859.488,0.36074,0.30742,0.80019,0,0,0,0,0,0,0,0.0011882,0.0011882,0.0011882
43,888.031,0.35396,0.30326,0.80763,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
44,910.263,0.37014,0.33772,0.81761,0,0,0,0,0,0,0,0.0011486,0.0011486,0.0011486
45,930.749,0.35538,0.31205,0.80016,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
46,947.935,0.36587,0.2988,0.79642,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
47,967.991,0.38379,0.31132,0.80462,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
48,992.294,0.35983,0.30199,0.80418,0,0,0,0,0,0,0,0.0010694,0.0010694,0.0010694
49,1014.82,0.35584,0.30486,0.80061,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
50,1032.31,0.35127,0.28603,0.80955,0,0,0,0,0,0,0,0.0010298,0.0010298,0.0010298
51,1051.57,0.34318,0.28196,0.80807,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
52,1073.16,0.33932,0.29756,0.80763,0,0,0,0,0,0,0,0.0009902,0.0009902,0.0009902
53,1097.69,0.34569,0.30855,0.80282,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
54,1121.15,0.33412,0.28233,0.80433,0,0,0,0,0,0,0,0.0009506,0.0009506,0.0009506
